Rank,Order,Family,Species,Common names,GE Score,ED Score,EDGE Score,Conservation Attention,Region,Countries,Relevant Global Programme,IUCN Red List link
38,Chiroptera,Furipteridae,Amorphochilus schnablii,"Smokey Bat, Smoky Bat",EN,30.2569337,5.521682772,None,Americas,Chile; Ecuador (Galápagos); Peru,,http://www.iucnredlist.org/apps/redlist/details/1154/0
39,Perissodactyla,Tapiridae,Tapirus bairdii,"Baird's Tapir, Central American Tapir",EN,30.00565773,5.513611237,Active,Americas,"Belize; Colombia; CostBelize; Colombia; Costa Rica; Guatemala; Honduras; Mexico; Nicaragua; Panama
a Rica; Guatemala; Honduras; Mexico; Nicaragua; Panama
",,http://www.iucnredlist.org/apps/redlist/details/21471/0
40,Lagomorpha,Leporidae,Romerolagus diazi,Volcano Rabbit,EN,29.85224334,5.508651007,Limited,Americas,"Mexico (México Distrito Federal, México State, Morelos)",,http://www.iucnredlist.org/apps/redlist/details/19742/0
41,Primates,Lemuridae,Prolemur simus,"Greater Bamboo Lemur, Broad-nosed Gentle Lemur",CR,14.3982973,5.506845661,Active,Africa,Madagascar,,http://www.iucnredlist.org/apps/redlist/details/9674/0
42,Lagomorpha,Leporidae,Pentalagus furnessi,"Amami Rabbit, Ryukyu Rabbit",EN,29.4589476,5.495821338,Limited,Asia,Japan,,http://www.iucnredlist.org/details/16559/0
43,Artiodactyla,Bovidae,Beatragus hunteri,"Hirola, Hunter's Antelope",CR,14.12584734,5.488993747,Limited,Africa,Kenya; Somalia,,http://www.iucnredlist.org/apps/redlist/details/6234/0
44,Artiodactyla,Bovidae,Pseudoryx nghetinhensis,Saola,CR,13.68,5.459074745,Limited,Asia,"Lao, Viet Nam",,http://www.iucnredlist.org/details/18597/0
45,Primates,Hominidae,Pongo abelii,Sumatran Orangutan,CR,13.66284712,5.45790561,Active,Asia,Indonesia (Sumatra),,http://www.iucnredlist.org/details/39780/0
46,Macroscelidea,Macroscelididae,Rhynchocyon chrysopygus,"Golden-rumped Elephant Shrew, Golden-rumped Sengi",EN,28.12701704,5.451107706,Limited,Africa,Kenya,,http://www.iucnredlist.org/apps/redlist/details/19705/0
47,Primates,Lemuridae,Hapalemur alaotrensis,"Alaotra Reed Lemur, Alaotran Gentle Lemur, Lac Alaotra Bamboo Lemur, Lake Alaotra Gentle Lemur",CR,13.49001975,5.446048842,Active,Africa,Madagascar,,http://www.iucnredlist.org/apps/redlist/details/9676/0
48,Rodentia,Muridae,Tokudaia muenninki,"Okinawa Spiny Rat, Muennink's Spiny Rat",CR,13.48531689,5.44572423,None,Asia,Japan (Nansei-shoto),,http://www.iucnredlist.org/details/21972/0
49,Diprotodontia,Petauridae,Gymnobelideus leadbeateri,Leadbeater's Possum,EN,27.62231266,5.433628118,Active,Australasia,Australia (Victoria),,http://www.iucnredlist.org/apps/redlist/details/9564/0
50,Sirenia,Dugongidae,Dugong dugon,"Dugong, Sea Cow",VU,56.07711486,5.430697607,Active,Global,"Australia; Bahrain; Brunei Darussalam; Cambodia; China; Cocos (Keeling) Islands; Comoros; Djibouti; Egypt; Eritrea; India (Andaman Is., Laccadive Is., Nicobar Is.); Indonesia; Japan (Nansei-shoto); Jordan; Kenya; Madagascar; Malaysia; Mayotte; Mozambique; New Caledonia; Palau; Papua New Guinea (Bismarck Archipelago); Philippines; Qatar; Saudi Arabia; Seychelles; Singapore; Solomon Islands; Somalia; Sri Lanka; Sudan; Tanzania, United Republic of; Thailand; Timor-Leste; United Arab Emirates; Vanuatu; Viet Nam; Yemen (Socotra)",Marine and Freshwater,http://www.iucnredlist.org/apps/redlist/details/6909/0
51,Erinaceomorpha,Erinaceidae,Neohylomys hainanensis,Hainan Gymnure,EN,27.36334182,5.424539072,None,Asia,China (Hainan),,http://www.iucnredlist.org/details/10588/0
52,Erinaceomorpha,Erinaceidae,Podogymnura aureospinula,"Dinagat Gymnure, Dinagat Moonrat",EN,27.22727204,5.419730146,None,Asia,Philippines,,http://www.iucnredlist.org/details/17829/0
53,Rodentia,Chinchillidae,Chinchilla chinchilla,Short-tailed Chinchilla,CR,12.97919099,5.410158588,None,Americas,Argentina; Chile,,http://www.iucnredlist.org/apps/redlist/details/4651/0
54,Rodentia,Chinchillidae,Chinchilla lanigera,"Chinchilla, Long-tailed Chinchilla",CR,12.97919099,5.410158588,None,Americas,Chile,,http://www.iucnredlist.org/apps/redlist/details/4652/0
55,Diprotodontia,Phalangeridae,Spilocuscus rufoniger,Black-spotted Cuscus,CR,12.78305286,5.396028506,None,Asia,Indonesia (Papua); Papua New Guinea,,http://www.iucnredlist.org/details/20639/0
56,Chiroptera,Mystacinidae,Mystacina tuberculata,New Zealand Lesser Short-tailed Bat,VU,54.10322232,5.395502557,Active,Australasia,"New Zealand (North Is., South Is.)",,http://www.iucnredlist.org/apps/redlist/details/14261/0
57,Dasyuromorphia,Dasyuridae,Sminthopsis aitkeni,Kangaroo Island Dunnart,CR,12.69165084,5.389374942,Active,Australasia,Australia (South Australia),,http://www.iucnredlist.org/apps/redlist/details/20294/0
58,Primates,Lepilemuridae,Lepilemur septentrionalis,"Sahafary Sportive Lemur, Northern Sportive Lemur",CR,12.65667849,5.386817391,Limited,Africa,Madagascar,,http://www.iucnredlist.org/apps/redlist/details/11622/0
59,Afrosoricida,Tenrecidae,Micropotamogale lamottei,"Nimba Otter Shrew, Pygmy Otter-shrew",EN,26.20431682,5.382817209,None,Africa,Côte d'Ivoire; Guinea; Liberia,,http://www.iucnredlist.org/apps/redlist/details/13393/0
60,Cetacea,Platanistidae,Platanista gangetica,"South Asian River Dolphin, Blind River Dolphin, Ganges Dolphin, Ganges River Dolphin, Ganges Susu, Indus River Dolphin",EN,26.19122582,5.382335883,Limited,Asia,Bangladesh; India; Nepal; Pakistan,,http://www.iucnredlist.org/details/41758/0
