Rank,Order,Family,Species,Common names,GE Score,ED Score,EDGE Score,Conservation Attention,Region,Countries,Relevant Global Programme,IUCN Red List link
2547,,,Pogonomelomys mayeri,"Shaw Mayer's Pogonomelomys, Shaw Mayer's Brush Mouse",LC,9.438854656,2.345534869,,,,,
2548,,,Mastomys natalensis,"Natal Mastomys, Natal Multimammate Mouse",LC,9.438283244,2.345480129,,,,,
2549,,,Tamiops macclellandii,Himalayan Striped Squirrel,LC,9.433507704,2.345022522,,,,,
2550,,,Grammomys macmillani,Macmillan's Thicket Rat,LC,9.432378194,2.344914258,,,,,
2551,,,Tarsomys apoensis,"Dusky Tarsomys, Long-footed Rat",LC,9.42877817,2.344569116,,,,,
2552,,,Dremomys pernyi,"Perny's Long-nosed Squirrel, Servaline Genet",LC,9.427455974,2.344442325,,,,,
2553,,,Cremnomys cutchicus,"Cutch Rock-rat, Cutch Rat",LC,9.421295086,2.343851317,,,,,
2554,,,Mastomys huberti,"Hubert's Mastomys, Hubert's Mastomys",LC,9.418808694,2.343612701,,,,,
2555,,,Kobus kob,Kob,LC,9.415389097,2.343284433,,,,,
2556,,,Leopoldamys milleti,Millet's Leopoldamys,LC,9.395446696,2.341367893,,,,,
2557,,,Tamias amoenus,Yellow-pine Chipmunk,LC,9.395201101,2.341344267,,,,,
2558,,,Niviventer coninga,"Spiny Taiwan Niviventer, Coxing's White-bellied Rat",LC,9.386541874,2.340510918,,,,,
2559,,,Pagophilus groenlandicus,"Harp Seal, Greenland Seal",LC,9.384823223,2.340345435,,,,,
2560,,,Sphiggurus villosus,Orange-spined Hairy Dwarf Porcupine,LC,9.383074856,2.340177063,,,,,
2561,,,Dremomys gularis,Red-throated Squirrel,LC,9.381483053,2.340023744,,,,,
2562,,,Dremomys pyrrhomerus,Red-hipped Squirrel,LC,9.381483053,2.340023744,,,,,
2563,,,Myomyscus brockmani,"Brockman's Myomyscus, Brockman's Myomyscus",LC,9.378594804,2.339745493,,,,,
2564,,,Perognathus merriami,Great Basin Pocket Mouse,LC,9.371595077,2.339070827,,,,,
2565,,,Pseudantechinus ningbing,"Ningbing Pseudantechinus, Ningbing Antechinus",LC,9.371066714,2.339019882,,,,,
2566,,,Dasykaluta rosamondae,"Kaluta, Little Red Antechinus, Little Red Kaluta",LC,9.360524232,2.338002837,,,,,
2567,,,Leopoldamys ciliatus,Sundaic Mountain Leopoldamys,LC,9.342926938,2.336302898,,,,,
2568,,,Lagenorhynchus cruciger,Hourglass Dolphin,LC,9.339440067,2.335965715,,,,,
2569,,,Eospalax fontanierii,"Chinese Zokor, Plateau Zokor",LC,9.334415922,2.335479677,,,,,
2570,,,Tadarida lobata,Kenyan Big-eared Free-tailed Bat,LC,9.333900031,2.335429756,,,,,
2571,,,Aethomys granti,"Grant's Rock Mouse, Grant's Rock Rat",LC,9.32257988,2.334333717,,,,,
2572,,,Scotorepens balstoni,"Inland Broad-nosed Bat, Western Broad-nosed Bat",LC,9.321368061,2.334216315,,,,,
2573,,,Scotorepens orion,Eastern Broad-nosed Bat,LC,9.321368061,2.334216315,,,,,
2574,,,Berylmys berdmorei,"Berdmore's Berylmy, Small White-toothed Rat",LC,9.317452594,2.333836888,,,,,
2575,,,Hesperoptenus tickelli,Tickell's Bat,LC,9.316587618,2.333753048,,,,,
2576,,,Speothos venaticus,"Bush Dog, Savannah Dog, Vinegar Dog",NT,4.154607202,2.333038098,,,,,
2577,,,Praomys tullbergi,"Tullberg's Praomys, Tullberg's Soft-furred Mouse",LC,9.306720664,2.332796174,,,,,
2578,,,Scotorepens greyii,Little Broad-nosed Bat,LC,9.303252462,2.332459618,,,,,
2579,,,Scotorepens sanborni,Northern Broad-nosed Bat,LC,9.303252462,2.332459618,,,,,
2580,,,Myospalax aspalax,False Zokor,LC,9.299599923,2.332105052,,,,,
2581,,,Hesperoptenus blanfordi,"Blanford's Bat, Least False Serotine",LC,9.297115253,2.331863783,,,,,
2582,,,Rupicapra pyrenaica,"Pyrenean Chamois, Abruzzo Chamois, Apennine Chamois, Southern Chamois",LC,9.279303533,2.330132508,,,,,
2583,,,Rupicapra rupicapra,"Northern Chamois, Alpine Chamois, Balkan Chamois, Chamois",LC,9.279303533,2.330132508,,,,,
2584,,,Bullimus bagobus,"Mindanao Bullimus, Bagobo Rat, Large Mindanao Forest Rat",LC,9.277542461,2.329961171,,,,,
2585,,,Bullimus luzonicus,"Luzon Bullimus, Large Luzon Forest Rat, Luzon Forest Rat",LC,9.277542461,2.329961171,,,,,
2586,,,Blanfordimys afghanus,Afghan Vole,LC,9.27677914,2.329886898,,,,,
2587,,,Blanfordimys bucharensis,Bucharian Vole,LC,9.27677914,2.329886898,,,,,
2588,,,Chrysocyon brachyurus,Maned Wolf,NT,4.13820942,2.329851837,,,,,
2589,,,Myospalax psilurus,"Transbaikal Zokor, Manchurian Zokor",LC,9.27570517,2.329782388,,,,,
2590,,,Myospalax myospalax,"Siberian Zokor, Altai Zokor",LC,9.270354063,2.329261499,,,,,
2591,,,Malacomys cansdalei,Cansdale's Swamp Rat,LC,9.269828294,2.329210305,,,,,
2592,,,Falsistrellus affinis,"Chocolate Pipistrelle, Grizzled Pipistrelle",LC,9.267920408,2.329024512,,,,,
2593,,,Millardia kathleenae,"Burmese Metad, Miss Ryley's Soft-furred Rat",LC,9.267580529,2.32899141,,,,,
2594,,,Pipistrellus coromandra,"Coromandel Pipistrelle, Indian Pipistrelle, Little Indian Bat",LC,9.264248957,2.328666882,,,,,
2595,,,Batomys salomonseni,"Mindanao Batomys, Mindanao Hairy-tailed Rat",LC,9.263268397,2.328571346,,,,,
2596,,,Microtus agrestis,Field Vole,LC,9.260843886,2.328335086,,,,,
2597,,,Eospalax rothschildi,Rothschild's Zokor,LC,9.260695822,2.328320656,,,,,
2598,,,Cryptomys damarensis,Damara Mole Rat,LC,9.255767895,2.327840269,,,,,
2599,,,Leopoldamys edwardsi,"Edwards's Long-tailed Giant Rat, Edward's Rat",LC,9.253908994,2.327658998,,,,,
2600,,,Sylvisorex granti,"Grant's Forest Shrew, Grant's Shrew",LC,9.246166008,2.326903588,,,,,
2601,,,Saguinus inustus,"Mottle-face Tamarin, Mottled-face Tamarin",LC,9.241859075,2.326483153,,,,,
2602,,,Heteromys anomalus,"Caribbean Spiny Pocket Mouse, Trinidad Spiny Pocket Mouse",LC,9.239497913,2.326252586,,,,,
2603,,,Abeomelomys sevia,"Menzies' Mouse, Highland Brush Mouse",LC,9.2325583,2.325574627,,,,,
2604,,,Echinoprocta rufescens,Stump-tailed Porcupine,LC,9.23091718,2.325414232,,,,,
2605,,,Ochotona collaris,Collared Pika,LC,9.230104436,2.325334789,,,,,
2606,,,Ochotona princeps,American Pika,LC,9.230104436,2.325334789,,,,,
2607,,,Miniopterus manavi,"Manavil Long-fingered Bat, Manavi Long-fingered Bat",LC,9.227396428,2.325070044,,,,,
2608,,,Oreotragus oreotragus,"Klipspringer, Western Klipspringer",LC,9.225853968,2.324919216,,,,,
2609,,,Viverra tangalunga,"Malay Civet, Malayan Civet, Oriental Civet",LC,9.225107987,2.324846263,,,,,
2610,,,Myomyscus angolensis,"Angolan Multimammate Mouse, Angolan Myomyscus",LC,9.221384691,2.324482064,,,,,
2611,,,Chiruromys vates,Lesser Tree Mouse,LC,9.220019095,2.324348453,,,,,
2612,,,Malacomys longipes,Big-eared Swamp Rat,LC,9.219828936,2.324329846,,,,,
2613,,,Dipodomys deserti,Desert Kangaroo Rat,LC,9.21947813,2.32429552,,,,,
2614,,,Gerbillurus tytonis,"Dune Hairy-footed Gerbil, Namib Dune Gerbil, Nimib Dune Gerbil",LC,9.219214465,2.324269719,,,,,
2615,,,Murexia melanurus,"Black-tailed Dasyure, Black-tailed Antechinus",LC,9.206529436,2.323027656,,,,,
2616,,,Otomops madagascariensis,Madagascar Free-tailed Bat,LC,9.206078986,2.322983522,,,,,
2617,,,Lepus nigricollis,"Indian Hare, Black-napped Hare",LC,9.197962356,2.322187931,,,,,
2618,,,Lepus peguensis,"Burmese Hare, Siamese Hare",LC,9.197962356,2.322187931,,,,,
2619,,,Gerbillurus paeba,"Hairy-footed Gerbil, Pigmy Gerbil",LC,9.190630466,2.321468716,,,,,
2620,,,Eospalax smithii,Smith's Zokor,LC,9.18992527,2.321399514,,,,,
2621,,,Pipistrellus nanus,"Banana Bat, Banana Pipistrelle",LC,9.17124159,2.319564286,,,,,
2622,,,Atelocynus microtis,"Short-eared Dog, Short-eared Fox, Small-eared Dog, Small-eared Zorro",NT,4.084189876,2.319282881,,,,,
2623,,,Pteropus scapulatus,Little Red Flying Fox,LC,9.168238656,2.319269005,,,,,
2624,,,Malacomys edwardsi,Edward's Swamp Rat,LC,9.167036002,2.319150722,,,,,
2625,,,Miniopterus pusillus,"Small Long-fingered Bat, Nicobar Long-fingered Bat, Small Bent-winged Bat",LC,9.162650114,2.318719246,,,,,
2626,,,Kannabateomys amblyonyx,Atlantic Bamboo Rat,LC,9.160866894,2.318543763,,,,,
2627,,,Sphiggurus pruinosus,,LC,9.160286529,2.318486643,,,,,
2628,,,Gerbillurus setzeri,"Namib Brush-tailed Gerbil, Setzer's Hairy-footed Gerbil",LC,9.156938659,2.318157084,,,,,
2629,,,Maxomys moi,"Indochinese Mountain Maxomys, Mo's Spiny Rat",LC,9.151039573,2.317576121,,,,,
2630,,,Chiruromys forbesi,"Forbes's Tree Mouse, Greater Tree Mouse",LC,9.14589005,2.317068702,,,,,
2631,,,Leopardus pardalis,Ocelot,LC,9.143422352,2.316825451,,,,,
2632,,,Calomyscus hotsoni,"Hotson's Brush-tailed Mouse, Hotson's Mouse-like Hamster, Hotson's Mouse-like Hamster",LC,9.140513125,2.316538601,,,,,
2633,,,Niviventer fraternus,Montane Sumatran Niviventer,LC,9.140083151,2.316496198,,,,,
2634,,,Pseudomys desertor,"Desert Mouse, Brown Desert Mouse",LC,9.131642941,2.315663491,,,,,
2635,,,Miniopterus australis,"Little Long-fingered Bat, Little Bent-winged Bat",LC,9.130019697,2.315503263,,,,,
2636,,,Pipistrellus pipistrellus,Common Pipistrelle,LC,9.129960126,2.315497382,,,,,
2637,,,Pipistrellus pygmaeus,"Pygmy Pipistrelle, Soprano Pipistrelle",LC,9.129960126,2.315497382,,,,,
2638,,,Mungos gambianus,Gambian Mongoose,LC,9.127483031,2.315252821,,,,,
2639,,,Mungos mungo,Banded Mongoose,LC,9.127483031,2.315252821,,,,,
2640,,,Rhinolophus subbadius,Little Nepalese Horseshoe Bat,LC,9.124369977,2.314945387,,,,,
2641,,,Mastomys coucha,"Southern African Mastomys, Southern Multimammate Mouse",LC,9.113028972,2.31382459,,,,,
2642,,,Mastomys kollmannspergeri,"Kollmannsperger's Mastomys, Verhayen's Multimammate Mouse",LC,9.111837434,2.313706761,,,,,
2643,,,Niviventer lepturus,"Montane Javan Niviventer, Narrow-tailed White-bellied Rat",LC,9.110074143,2.313532367,,,,,
2644,,,Niviventer rapit,"Montane Bornean Niviventer, Long-tailed Mountain Rat",LC,9.10647107,2.313175919,,,,,
2645,,,Callicebus dubius,"Doubtful Titi Monkey, Dubius Titi, Hershkovitz's Titi",LC,9.105272824,2.313057349,,,,,
2646,,,Praomys lukolelae,Lukolela Swamp Rat,LC,9.093811967,2.31192256,,,,,
2647,,,Cynopterus sphinx,"Greater Shortnosed Fruit Bat, Greater Short-nosed Fruit Bat, Short-nosed Fruit Bat, Short-nosed Indian Fruit Bat",LC,9.087942773,2.311340926,,,,,
2648,,,Taterillus lacustris,"Lake Chad Gerbil, Lake Chad Tateril",LC,9.085065487,2.311055665,,,,,
2649,,,Gerbillurus vallinus,Bushy-tailed Hairy-footed Gerbil,LC,9.082202233,2.310771714,,,,,
2650,,,Millardia gleadowi,"Sand-coloured Metad, Sand-colored Soft-furred Rat",LC,9.081227798,2.310675061,,,,,
2651,,,Tamias quadrimaculatus,Long-eared Chipmunk,LC,9.078625353,2.31041688,,,,,
2652,,,Chionomys gud,Caucasian Snow Vole,LC,9.078195411,2.31037422,,,,,
2653,,,Pipistrellus alaschanicus,Alashanian Pipistrelle,LC,9.074048413,2.309962653,,,,,
2654,,,Pipistrellus savii,Savi's Pipistrelle,LC,9.074048413,2.309962653,,,,,
2655,,,Chiruromys lamia,Broad-headed Tree Mouse,LC,9.073118555,2.309870346,,,,,
2656,,,Chionomys roberti,"Robert's Snow Vole, Robert's Snow Vole",LC,9.072582668,2.309817145,,,,,
2657,,,Genetta genetta,"Common Genet, Ibiza Common Genet, Ibiza Genet",LC,9.07007983,2.309568634,,,,,
2658,,,Genetta tigrina,"South African Large-spotted Genet, Blotched Genet, Cape Large-spotted Genet, Large-spotted Genet",LC,9.07007983,2.309568634,,,,,
2659,,,Chionomys nivalis,"European Snow Vole, Snow Vole",LC,9.06843998,2.309405777,,,,,
2660,,,Erethizon dorsatum,North American Porcupine,LC,9.064247989,2.308989341,,,,,
2661,,,Sphiggurus spinosus,"Paraguay Hairy Dwarf Porcupine, Spiny Tree Porcupine",LC,9.061649267,2.308731094,,,,,
2662,,,Sphiggurus insidiosus,Bahia Hairy Dwarf Porcupine,LC,9.055610581,2.308130745,,,,,
2663,,,Sphiggurus melanurus,,LC,9.055610581,2.308130745,,,,,
2664,,,Taterillus tranieri,Tranieri's Tateril,LC,9.053854833,2.307956126,,,,,
2665,,,Cryptomys mechowi,Mechow's Mole Rat,LC,9.052049764,2.30777657,,,,,
2666,,,Martes americana,"American Marten, American Pine Marten",LC,9.048439073,2.307417306,,,,,
2667,,,Martes melampus,"Japanese Marten, Tsushima Island Marten",LC,9.048439073,2.307417306,,,,,
2668,,,Eptesicus bobrinskoi,Bobrinski's Serotine,LC,9.048071151,2.307380691,,,,,
2669,,,Taterillus gracilis,"Gracile Tateril, Slender Gerbil",LC,9.045891018,2.307163697,,,,,
2670,,,Niviventer andersoni,"Anderson's Niviventer, Anderson's White-bellied Rat",LC,9.043986769,2.306974124,,,,,
2671,,,Mallomys istapantap,Subalpine Woolly Rat,LC,9.043187414,2.306894535,,,,,
2672,,,Sylvisorex johnstoni,"Johnston's Forest Shrew, Johnston's Shrew",LC,9.038876386,2.306465194,,,,,
2673,,,Hystrix indica,Indian Crested Porcupine,LC,9.038379473,2.306415694,,,,,
2674,,,Cryptomys bocagei,Bocage's Mole Rat,LC,9.027508292,2.305332146,,,,,
2675,,,Lissodelphis borealis,Northern Right Whale Dolphin,LC,9.022104101,2.304793064,,,,,
2676,,,Sphiggurus mexicanus,"Mexican Hairy Dwarf Porcupine, Mexican Tree Porcupine",LC,9.021018541,2.304684741,,,,,
2677,,,Sorex jacksoni,"Saint Lawrence Island Shrew, St Lawrence Island Shrew",LC,9.01498397,2.304082369,,,,,
2678,,,Millardia meltada,"Soft-furred Metad, Soft-furred Field Rat, Soft-furred Rat",LC,9.014545974,2.304038633,,,,,
2679,,,Tadarida australis,White-striped Free-tailed Bat,LC,8.999482469,2.302533339,,,,,
2680,,,Tadarida kuboriensis,New Guinea Free-tailed Bat,LC,8.999482469,2.302533339,,,,,
2681,,,Mallomys rothschildi,Rothschild's Woolly Rat,LC,8.994585705,2.302043517,,,,,
2682,,,Calomyscus urartensis,"Urar Calomyscus, Urartsk Mouse-like Hamster",LC,8.977764272,2.300359044,,,,,
2683,,,Hystrix brachyura,"Malayan Porcupine, Himalayan Crestless Porcupine",LC,8.968939636,2.299474223,,,,,
2684,,,Praomys petteri,Petter's Praomys,LC,8.968732636,2.299453458,,,,,
2685,,,Proechimys semispinosus,Tome's Spiny Rat,LC,8.958044923,2.298380759,,,,,
2686,,,Mallomys aroaensis,De Vis's Woolly Rat,LC,8.956465296,2.298222119,,,,,
2687,,,Funambulus palmarum,"Common Palm Squirrel, Indian Palm Squirrel, Three-striped Palm Squirrel",LC,8.947129679,2.297284035,,,,,
2688,,,Abrothrix andinus,"Andean Akodont, Andean Altiplano Mouse",LC,8.911177282,2.293663139,,,,,
2689,,,Abrothrix jelskii,Jelski's Altiplano Mouse,LC,8.911177282,2.293663139,,,,,
2690,,,Zyzomys woodwardi,"Kimberley Rock Rat, Kimberly Rock Rat",LC,8.911119367,2.293657295,,,,,
2691,,,Zyzomys argurus,"Common Rock Rat, Silver-tailed Rock Rat",LC,8.910033063,2.293547685,,,,,
2692,,,Taterillus pygargus,"Senegal Gerbil, Senegal Tateril",LC,8.909257405,2.293469412,,,,,
2693,,,Taterillus emini,"Emin's Gerbil, Emin's Tateril",LC,8.906676415,2.293208915,,,,,
2694,,,Spilogale angustifrons,Southern Spotted Skunk,LC,8.905097479,2.293049521,,,,,
2695,,,Stenella coeruleoalba,"Striped Dolphin, Euphrosyne Dolphin",LC,8.898836004,2.292417175,,,,,
2696,,,Taterillus arenarius,"Robbins's Tateril, Sahel Gerbil",LC,8.898702709,2.292403709,,,,,
2697,,,Tonatia saurophila,Stripe-headed Round-eared Bat,LC,8.89637591,2.29216862,,,,,
2698,,,Pteromys momonga,"Japanese Flying Squirrel, Small Japanese Flying-squirrel",LC,8.891505715,2.29167638,,,,,
2699,,,Pteromys volans,"Russian Flying Squirrel, Siberian Flying Squirrel",LC,8.891505715,2.29167638,,,,,
2700,,,Bunomys andrewsi,"Andrew's Bunomys, Andrew's Hill Rat",LC,8.886693667,2.291189779,,,,,
2701,,,Rattus arrogans,Western New Guinea Mountain Rat,LC,8.86967429,2.289466853,,,,,
2702,,,Sorex bairdi,Baird's Shrew,LC,8.86940316,2.289439382,,,,,
2703,,,Pseudomys hermannsburgensis,Sandy Inland Mouse,LC,8.869254718,2.289424341,,,,,
2704,,,Thomasomys gracilis,Slender Oldfield Mouse,NT,3.933932965,2.289283612,,,,,
2705,,,Hystrix cristata,"Crested Porcupine, North African Crested Porcupine",LC,8.86511461,2.289004757,,,,,
2706,,,Mesembriomys macrurus,Golden-backed Tree Rat,LC,8.859456059,2.288431001,,,,,
2707,,,Procyon lotor,Northern Raccoon,LC,8.854072632,2.287884835,,,,,
2708,,,Otocyon megalotis,Bat-eared Fox,LC,8.846867958,2.287153431,,,,,
2709,,,Procyon cancrivorus,Crab-eating Raccoon,LC,8.845646541,2.287029382,,,,,
2710,,,Maxomys bartelsii,"Bartels's Javan Maxomys, Bartels's Spiny Rat",LC,8.838211152,2.286273901,,,,,
2711,,,Scotoecus hirundo,Dark-winged Lesser House Bat,LC,8.836634646,2.286113645,,,,,
2712,,,Proechimys quadruplicatus,Napo Spiny Rat,LC,8.832032988,2.285645727,,,,,
2713,,,Proechimys canicollis,Colombian Spiny Rat,LC,8.830783016,2.285518587,,,,,
2714,,,Pseudomys albocinereus,"Ash-grey Mouse, Ash-gray Mouse",LC,8.828118854,2.285247548,,,,,
2715,,,Mastomys erythroleucus,"Guinea Multimammate Mouse, Reddish-white Mastomys",LC,8.82226705,2.284651956,,,,,
2716,,,Spilogale gracilis,Western Spotted Skunk,LC,8.818894191,2.284308508,,,,,
2717,,,Praomys rostratus,"Forest Soft-furred Mouse, West African Praomys",LC,8.81786898,2.284204091,,,,,
2718,,,Hystrix africaeaustralis,Cape Porcupine,LC,8.811575754,2.283562888,,,,,
2719,,,Connochaetes gnou,"Black Wildebeest, White-tailed Gnu",LC,8.810292431,2.283432083,,,,,
2720,,,Connochaetes taurinus,"Common Wildebeest, Blue &amp; White-bearded Wildebeest, Blue Wildebeest",LC,8.810292431,2.283432083,,,,,
2721,,,Anoura geoffroyi,Geoffroy's Tailless Bat,LC,8.807087689,2.283105358,,,,,
2722,,,Hoplomys gymnurus,Armored Rat,LC,8.801171246,2.282501893,,,,,
2723,,,Semnopithecus hector,"Tarai Gray Langur, Gray Langur, Hanuman Langur, Lesser Hill Langur, Tarai Sacred Langur",NT,3.899217113,2.2822226,,,,,
2724,,,Anoura luismanueli,Luis Manuel's Tailless Bat,LC,8.789913899,2.281352662,,,,,
2725,,,Arvicanthis abyssinicus,Abyssinian Grass Rat,LC,8.789024532,2.281261812,,,,,
2726,,,Apodemus epimelas,Western Broad-toothed Field Mouse,LC,8.776389569,2.279970251,,,,,
2727,,,Apodemus mystacinus,"Broad-toothed Field Mouse, Eastern Broad-toothed Field Mouse",LC,8.776389569,2.279970251,,,,,
2728,,,Anoura latidens,Broad-toothed Tailless Bat,LC,8.776003674,2.279930778,,,,,
2729,,,Semnopithecus priam,"Tufted Gray Langur, Coromandel Sacred Langur, Madras Grey Langur",NT,3.887844406,2.27989857,,,,,
2730,,,Spilogale putorius,"Eastern Spotted Skunk, Spotted Skunk",LC,8.774805186,2.279808176,,,,,
2731,,,Pseudohydromys ellermani,"One-toothed Shrew Mouse, One-toothed Shrew-mouse",LC,8.769603399,2.279275871,,,,,
2732,,,Pseudohydromys fuscus,Mottled-tailed Shrew Mouse,LC,8.769603399,2.279275871,,,,,
2733,,,Lepus comus,Yunnan Hare,LC,8.769055111,2.279219748,,,,,
2734,,,Lepus oiostolus,Woolly Hare,LC,8.769055111,2.279219748,,,,,
2735,,,Taterillus petteri,"Petter's Gerbil, Petter's Tateril",LC,8.757839036,2.278070966,,,,,
2736,,,Rhizomys sinensis,Chinese Bamboo Rat,LC,8.757009137,2.277985913,,,,,
2737,,,Sorex fumeus,Smoky Shrew,LC,8.732516715,2.275472518,,,,,
2738,,,Sundasciurus mindanensis,Mindanao Squirrel,LC,8.71801446,2.273981324,,,,,
2739,,,Sorex tenellus,Inyo Shrew,LC,8.713811282,2.273548716,,,,,
2740,,,Sundasciurus lowii,Low's Squirrel,LC,8.710482459,2.273205968,,,,,
2741,,,Sorex dispar,Long-tailed Shrew,LC,8.708011906,2.272951514,,,,,
2742,,,Hippotragus equinus,Roan Antelope,LC,8.704238659,2.272562765,,,,,
2743,,,Hippotragus niger,"Sable Antelope, Giant Sable Antelope",LC,8.704238659,2.272562765,,,,,
2744,,,Rattus pococki,Pocock's Highland Rat,LC,8.697814293,2.27190053,,,,,
2745,,,Rattus niobe,Moss-forest Rat,LC,8.689686338,2.271062056,,,,,
2746,,,Hystrix javanica,Sunda Porcupine,LC,8.68877826,2.270968335,,,,,
2747,,,Pseudomys bolami,Bolam's Mouse,LC,8.683948377,2.270469708,,,,,
2748,,,Anoura caudifer,Tailed Tailless Bat,LC,8.682384861,2.270308241,,,,,
2749,,,Praomys misonnei,"Misonne's Praomys, Misonne's Soft-furred Mouse",LC,8.681331923,2.270199487,,,,,
2750,,,Rhizomys sumatrensis,"Indomalayan Bamboo Rat, Large Bamboo Rat",LC,8.675421167,2.269588769,,,,,
2751,,,Proechimys simonsi,Simon's Spiny Rat,LC,8.674840997,2.269528804,,,,,
2752,,,Gerbillus tarabuli,Tarabul's Gerbil,LC,8.673980925,2.269439903,,,,,
2753,,,Tadarida fulminans,"Malagasy Free-tailed Bat, Madagascan Large Free-tailed Bat",LC,8.673384362,2.269378234,,,,,
2754,,,Lepus americanus,"Snowshoe Hare, Snowshoe Rabbit, Varying Hare",LC,8.673341397,2.269373792,,,,,
2755,,,Maxomys musschenbroekii,"Musschenbroek's Sulawesi Maxomys, Musschenbroek's Spiny Rat",LC,8.669437001,2.268970087,,,,,
2756,,,Corynorhinus townsendii,Townsend's Big-eared Bat,LC,8.658890353,2.267878771,,,,,
2757,,,Niviventer langbianis,"Lang Bian White-bellied Rat, Dark-tailed Rat",LC,8.658643748,2.26785324,,,,,
2758,,,Hystrix sumatrae,Sumatran Porcupine,LC,8.6582685,2.267814388,,,,,
2759,,,Dasycercus cristicauda,"Crest-tailed Mulgara, Mulgara",LC,8.658225111,2.267809895,,,,,
2760,,,Pseudohydromys murinus,Eastern Shrew Mouse,LC,8.655507084,2.267528435,,,,,
2761,,,Mustela frenata,Long-tailed Weasel,LC,8.646780669,2.26662425,,,,,
2762,,,Melomys capensis,"Cape York Melomys, Cape York Mosaic-tailed Rat",LC,8.646140359,2.266557873,,,,,
2763,,,Eudorcas thomsonii,Thomson's Gazelle,NT,3.819275961,2.265770882,,,,,
2764,,,Cercopithecus neglectus,"De Brazza's Monkey, De Brazza's Monkey",LC,8.637839806,2.265696997,,,,,
2765,,,Myotis punicus,"Felten's Myotis, Maghrebian Myotis",NT,3.817131102,2.265325724,,,,,
2766,,,Notiomys edwardsii,Edwards's Long-clawed Mouse,LC,8.633801877,2.265277943,,,,,
2767,,,Lemmus lemmus,Norway Lemming,LC,8.633181138,2.265213508,,,,,
2768,,,Lemmus amurensis,Amur Lemming,LC,8.631995946,2.265090468,,,,,
2769,,,Petaurista leucogenys,Japanese Giant Flying Squirrel,LC,8.629240607,2.264804366,,,,,
2770,,,Lophostoma schulzi,Schultz's Round-eared Bat,LC,8.625023421,2.264366314,,,,,
2771,,,Rhizomys pruinosus,Hoary Bamboo Rat,LC,8.610921036,2.26290006,,,,,
2772,,,Sorex cinereus,"Cinereus Shrew, Masked Shrew",LC,8.608707809,2.262669751,,,,,
2773,,,Micronycteris minuta,"Tiny Big-eared Bat, White-bellied Big-eared Bat",LC,8.604548631,2.262236802,,,,,
2774,,,Micronycteris schmidtorum,Schmidts's Big-eared Bat,LC,8.604548631,2.262236802,,,,,
2775,,,Sundasciurus brookei,Brooke's Squirrel,LC,8.601204614,2.261888571,,,,,
2776,,,Lenoxus apicalis,Andean Rat,LC,8.595552053,2.261299663,,,,,
2777,,,Pseudomys gracilicaudatus,Eastern Chestnut Mouse,LC,8.590891303,2.260813825,,,,,
2778,,,Gerbillus watersi,Waters's Gerbil,LC,8.586134481,2.26031773,,,,,
2779,,,Macropus irma,"Western Brush Wallaby, Kwoora, Western Bush Wallaby",LC,8.585884127,2.260291613,,,,,
2780,,,Hydromys chrysogaster,"Common Water Rat, Golden-bellied Water Rat",LC,8.582889962,2.259979213,,,,,
2781,,,Arvicanthis ansorgei,Sudanian Arvicanthis,LC,8.582685058,2.25995783,,,,,
2782,,,Otaria flavescens,"South American Sea Lion, Southern Sea Lion",LC,8.577786785,2.259446541,,,,,
2783,,,Tachyoryctes splendens,East African Mole Rat,LC,8.573807308,2.259030964,,,,,
2784,,,Proechimys longicaudatus,Long-tailed Spiny Rat,LC,8.573587558,2.259008011,,,,,
2785,,,Gerbilliscus leucogaster,Bushveld Gerbil,LC,8.570308261,2.258665416,,,,,
2786,,,Capromys pilorides,Desmarest's Hutia,LC,8.569660721,2.258597752,,,,,
2787,,,Murexia longicaudata,Short-furred Dasyure,LC,8.566749713,2.258293515,,,,,
2788,,,Gerbillus andersoni,Anderson's Gerbil,LC,8.565968941,2.258211898,,,,,
2789,,,Halichoerus grypus,"Grey Seal, Gray Seal",LC,8.565058673,2.258116737,,,,,
2790,,,Otomys sloggetti,Sloggett's Vlei Rat,LC,8.557682921,2.257345325,,,,,
2791,,,Pseudomys johnsoni,"Central Pebble Mouse, Central Pepple-mound Mouse",LC,8.552642521,2.25681782,,,,,
2792,,,Leptomys signatus,"Fly River Leptomys, Fly River Water Rat",LC,8.548380242,2.256371532,,,,,
2793,,,Sundasciurus philippinensis,Philippine Tree Squirrel,LC,8.546168442,2.256139864,,,,,
2794,,,Gerbillus pyramidum,Greater Egyptian Gerbil,LC,8.542807817,2.255787763,,,,,
2795,,,Galea musteloides,Common Yellow-toothed Cavy,LC,8.537196324,2.255199556,,,,,
2796,,,Pithecia aequatorialis,Equatorial Saki,LC,8.53719204,2.255199107,,,,,
2797,,,Galea spixii,Spix's Yellow-toothed Cavy,LC,8.533313642,2.254792364,,,,,
2798,,,Gerbillus mesopotamiae,Mesopotamian Gerbil,LC,8.533137563,2.254773894,,,,,
2799,,,Maxomys surifer,"Indomalayan Maxomys, Red Spiny Rat",LC,8.532972914,2.254756622,,,,,
2800,,,Pseudomys higginsi,Long-tailed Mouse,LC,8.527298945,2.254161251,,,,,
2801,,,Phalanger mimicus,"Southern Common Cuscus, Australian Cuscus",LC,8.525837144,2.254007806,,,,,
